gas,brake,rpm,steer,speed,g_force_x,g_force_y,g_force_z,wheel_slip_front_left,wheel_slip_front_right,wheel_slip_rear_left,wheel_slip_rear_right,pressure_front_left,pressure_front_right,pressure_rear_left,pressure_rear_right,tyre_temp_front_left,tyre_temp_front_right,tyre_temp_rear_left,tyre_temp_rear_right,air_temp,road_temp,yaw_rate,current_time_str,normalized_car_position,wind_speed,wind_direction,result
1.0,0.0,8275,0.0,262.7939453125,0.24310070276260376,-0.13944430649280548,-0.018420813605189323,0.07153940200805664,0.03726664558053017,0.20806999504566193,0.18897300958633423,21.766727447509766,22.50594711303711,22.825050354003906,22.929847717285156,71.69180297851562,78.77765655517578,81.83641815185547,82.8409652709961,26.0,36.0,0.005056711845099926,1:07:077,0.3420213758945465,0.0,-168.0,neutral
1.0,0.0,8301,0.0,263.6900329589844,0.2523321509361267,-0.025835907086730003,0.08821684122085571,0.05882907658815384,0.04815412312746048,0.1974932849407196,0.1913343220949173,21.766855239868164,22.50905418395996,22.82771873474121,22.932687759399414,71.69302368164062,78.80741119384766,81.86200714111328,82.86817932128906,26.0,36.0,0.0034290836192667484,1:07:176,0.3434024155139923,0.0,-168.0,neutral
1.0,0.0,8340,0.0,264.5791015625,0.2638638913631439,0.006060311570763588,-0.006772801745682955,0.05696762353181839,0.05196627974510193,0.2086624801158905,0.2069951742887497,21.766809463500977,22.51214027404785,22.83051872253418,22.935705184936523,71.69256591796875,78.83699798583984,81.88885498046875,82.89713287353516,26.0,36.0,0.002190860453993082,1:07:278,0.3448314368724823,0.0,-168.0,neutral
1.0,0.0,8388,-0.014699994586408138,265.420654296875,0.16712316870689392,0.24762743711471558,-0.13012109696865082,0.01889670640230179,0.09076707810163498,0.22746436297893524,0.22791950404644012,21.766672134399414,22.515207290649414,22.83329200744629,22.9387264251709,71.6912841796875,78.86638641357422,81.91541290283203,82.92607116699219,26.0,36.0,0.052018821239471436,1:07:377,0.34622299671173096,0.0,-168.0,neutral
1.0,0.0,8389,0.0,266.2940673828125,0.2397865504026413,0.48983219265937805,0.005591871682554483,0.03498491272330284,0.07005348801612854,0.19146326184272766,0.2340584248304367,21.76621437072754,22.518827438354492,22.835886001586914,22.94206428527832,71.6868896484375,78.90110778808594,81.94029235839844,82.95803833007812,26.0,36.0,0.1442127823829651,1:07:479,0.347662091255188,0.0,-168.0,neutral
1.0,0.0,8398,0.0,267.11962890625,0.2572703957557678,0.3792066276073456,0.03718180954456329,0.024577153846621513,0.0805998370051384,0.16905926167964935,0.21014049649238586,21.76584243774414,22.522029876708984,22.838420867919922,22.945171356201172,71.68331146240234,78.93177795410156,81.96460723876953,82.98784637451172,26.0,36.0,0.013514342717826366,1:07:578,0.34906336665153503,0.0,-168.0,neutral
1.0,0.0,8423,0.0,267.9513854980469,0.2289772927761078,0.12402037531137466,-0.004226099234074354,0.044760365039110184,0.061784837394952774,0.18077389895915985,0.1924235075712204,21.765609741210938,22.525127410888672,22.841232299804688,22.948379516601562,71.68109130859375,78.96150207519531,81.99156188964844,83.01860809326172,26.0,36.0,-0.001772712217643857,1:07:677,0.3504687547683716,0.0,-168.0,neutral
1.0,0.0,8446,0.0,268.74444580078125,0.22555579245090485,0.035457104444503784,-0.1416611671447754,0.052222780883312225,0.05249829590320587,0.18568915128707886,0.18642263114452362,21.765457153320312,22.527812957763672,22.843997955322266,22.95135498046875,71.67965698242188,78.98723602294922,82.01808166503906,83.047119140625,26.0,36.0,6.86503917677328e-05,1:07:776,0.3518773317337036,0.0,-168.0,neutral
1.0,0.0,7343,0.0,269.17120361328125,0.2070312350988388,-0.002579782158136368,0.0907118171453476,0.05559350550174713,0.04784504324197769,0.1649225503206253,0.16095983982086182,21.76522445678711,22.530319213867188,22.8466796875,22.954288482666016,71.67740631103516,79.01129913330078,82.04376220703125,83.07524871826172,26.0,36.0,0.0017125509912148118,1:07:878,0.3533329963684082,0.0,-168.0,neutral
1.0,0.0,7375,-0.00997499842196703,269.773193359375,0.13502992689609528,0.13217568397521973,-0.16190071403980255,0.02831387333571911,0.07510990649461746,0.1766846626996994,0.17564024031162262,21.765296936035156,22.533016204833984,22.849529266357422,22.957378387451172,71.67805480957031,79.037109375,82.07107543945312,83.10485076904297,26.0,36.0,0.021640513092279434,1:07:977,0.354748010635376,0.0,-168.0,neutral
